PRIMARYDRUG,HARMONIZEDPRIMARYDRUG,DRUGPRIORITY,HARMONIZEDDRUGCATEGORY
ABROCITINIB,Abrocitinib,Priority Asset,Inflammation and Immunology
acetylsalicylic acid,Abrocitinib,Priority Asset,Inflammation and Immunology
"acetylsalicylic acid, PF-00345190",Acetylsalicyclic acid,,
ADALIMUMAB PFIZER,Adalimumab,,Inflammation and Immunology
adalimumab:PF-06410293,Adalimumab,,Inflammation and Immunology
"adalimumab:PF-06410293, etanercept:PF-05208752, tofacitinib:PF-04524477",Adalimumab,,Inflammation and Immunology
"adalimumab:PF-06410293, tofacitinib:PF-04524477",Adalimumab,,Inflammation and Immunology
anidulafungin:PF-03910960,Anidulafungin,,Hospital
anti-T lymphocyte immunoglobulin (horse): PF-06462700 (ISR),Anti-T Lymphocyte Immunoglobulin (Horse),,Hospital
ANTITHYMOCYTE IMMUNOGLOBULIN (HORSE),Anti-T Lymphocyte Immunoglobulin (Horse),,Hospital
APIXABAN,Apixaban,Priority Asset,Internal Medicine
apixaban:PF-04652577,Apixaban,Priority Asset,Internal Medicine
ARRY-614 (PF-06800302),Array-614,,Oncology
AVELUMAB,Avelumab,,Oncology
avelumab:PF-06834635,Avelumab,,Oncology
"avelumab:PF-06834635, axitinib",Avelumab,,Oncology
"avelumab:PF-06834635, axitinib, sunitinib malate",Avelumab,,Oncology
"avelumab:PF-06834635, axitinib, talazoparib","Avelumab, Axitinib",,Oncology
"avelumab:PF-06834635, binimetinib",Avelumab,,Oncology
"avelumab:PF-06834635, crizotinib:PF-02341066, palbociclib:PF-00080665","Avelumab, Crizotinib, Palbociclib",Priority Asset,Oncology
"avelumab:PF-06834635, palbociclib:PF-00080665","Avelumab, Palbociclib",Priority Asset,Oncology
"avelumab:PF-06834635, talazoparib","Avelumab, Talazoparib",Launch Priority,Oncology
"avelumab:PF-06834635, Utomilumab (PF-05082566) 4-1BB agonist Mab","Avelumab, Utomilumab",,Oncology
avelumab:PF-06834635; axitinib; sunitinib malate,"Axitinib, Sunitinib",,Oncology
AVIBACTAM SODIUM;AZTREONAM,Ceftazidime-avibactam,,Hospital
