NAME,TITLE,STUDYTYPE,STUDYSOP,STUDYSUBTYPE,PASS,PMS,HARMONIZEDCATEGORY,INDICATION,HARMONIZEDPRIMARYDRUG,DRUGPRIORITY,STATUS,STATUSDETAIL,COUNTRIESOFSTUDY,UNITEDSTATES,INTERNATIONALPRIORITY,ANCHORMARKET,EXECUTIONGROUP,SPONSORINGDIVISION
0887X14633,A SYSTEMATIC REVIEW OF THE PNEUMOCOCCAL DISEASE BURDEN FROM 1980 TO 2008 IN CHINA.,NON INTERVENTIONAL,CT24,,,,Vaccines,Pneumococcal infection,,No Drug,Completed,No additional details,"China,China",No,Yes,No,,WYETH
91569519,GLP-2R in Hepatic stellate cells: Mechanisms of Tissue Remodeling and Therapeutic Potential in MAFLD Utilizing Liver Spheroids,General Research,GNT01,General Research,No,No,Internal Medicine,NASH (Non-Alcoholic Steatohepatitis),,No Drug,Ongoing,Contract Exeecuted,"Israel,",No,No,No,,CMAO
61528479,VITAMIN D RECEPTOR (VDR) POLYMORPHISMS IN BREAST CANCER PATIENTS IN KENYA,General Research,GNT01,General Research,No,No,Oncology,Breast,,No Drug,Canceled,No additional details,"Kenya,",No,No,No,,POD
93521309,Encorafenib Brazilian experience,Research Collaboration,RC01,,No,No,Oncology,Gastrointestinal,Encorafenib,Priority Asset,Pending,No additional details,"Brazil,",No,No,Yes,,POD
71936013,Transbronchial Intratumoral Treatment with Combination Chemotherapy/Immunotherapy in Resectable Lung Cancer,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Lung,Avelumab,,Rejected,No additional details,"United States,",Yes,No,No,,POD
60322079,WI243129 AZ-2802-MIC determination of Meropenem against Acinetobacter baumannii will be done and Synergy activity of Meropenem in combinations with other conventional antiobiotics against Acinetobacter baumannii will be done in vitro.,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Vaccines,Bacterial,Other / Unknown,,Closed,No additional details,"Korea, Republic Of,",No,No,Yes,,CMAO
63555409,COVID vaccine in patients with rheumatoid arthritis,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Inflammation and Immunology,Rheumatoid Arthritis,Other / Unknown,,Rejected,No additional details,"Argentina,",No,No,No,,CMAO
A6131001,12 WEEK NON-INTERVENTIONAL STUDY OF XANAX SR AND XANAX IN PATIENTS SUFFERING FROM ANXIETY DISORDERS,NON INTERVENTIONAL,CT24,,,,,,,No Drug,Canceled,No additional details,"Hungary,",No,No,No,,PGP
B0661115,Treatment changes among users of vitamin K antagonist and non-vitamin K antagonist oral anticoagulants in atrial fibrillation,NON INTERVENTIONAL,CT24,,No,No,Internal Medicine,Atrial fibrillation,Apixaban,Priority Asset,Completed,No additional details,"Germany,",No,Yes,No,,GPD
87301943,Eliminating the need for tooth implants and dentures.,General Research,GNT01,General Research,No,No,Other / Unknown,Support for Health Outcomes,,No Drug,Rejected,No additional details,"Canada,",No,No,Yes,,CMAO
60993641,Hydroxychloroquine and binimetinib in KRASmt metastatic Pancreatic cancer,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Gastrointestinal,Binimetinib,Priority Asset,Ongoing,Contract Exeecuted,"United States,",Yes,No,No,,POD
A4061073,,NON INTERVENTIONAL,CT24,,Yes,,Oncology,,Axitinib,,Canceled,No additional details,,No,No,No,,BU DEVELOPMENT
56867235,ACROMEGALY: THE EFFECT OF GH AND IGF1 EXCESS ON AGING,General Research,GNT01,General Research,No,No,Rare Disease,Acromegaly,,No Drug,Rejected,No additional details,"Italy,",No,No,Yes,,CMAO
70914641,IBD National Patient Registry - National registration of patients with Crohn´s disease and ulcerative colitis in Brazil,General Research,GNT01,General Research,No,No,Inflammation and Immunology,IBD (Inflammatory Bowel Disease),,No Drug,Ongoing,Contract Exeecuted,"Brazil,",No,No,Yes,,CMAO
